no of cores,r1,r2,r3,r_avg
6,0.063284,0.053931,0.062996,0.06007033333333334
7,0.065109,0.057502,0.046916,0.056509
8,0.051669,0.087372,0.054748,0.06459633333333333
9,0.071923,0.063364,0.044609,0.059965333333333336
10,0.054922,0.042342,0.059951,0.052405
11,0.050155,0.057251,0.058512,0.055306
12,0.090226,0.068806,0.104555,0.08786233333333333
13,0.063132,0.049442,0.036243,0.04960566666666666
14,0.050835,0.048864,0.043544,0.04774766666666667
15,0.020175,0.034599,0.042936,0.032569999999999995
16,0.047061,0.05272,0.029972,0.043251000000000005
17,0.041588,0.038437,0.046355,0.042126666666666666
18,0.045255,0.045184,0.040969,0.04380266666666666
19,0.058879,0.116575,0.046262,0.07390533333333334
20,0.049437,0.035874,0.039145,0.04148533333333333
21,0.040148,0.042745,0.017268,0.033387
22,0.040318,0.036161,0.057087,0.044522
23,0.040153,0.033613,0.036409,0.036725
24,0.045154,0.05229,0.03624,0.044561333333333335
25,0.043961,0.051551,0.061015,0.05217566666666667
26,0.036473,0.053163,0.043087,0.044240999999999996
27,0.060512,0.048127,0.039858,0.04949900000000001
28,0.050577,0.043837,0.046067,0.046827
29,0.188855,0.145965,0.157925,0.16424833333333333
30,0.162977,0.044954,0.182974,0.13030166666666668
31,0.238975,0.205972,0.166981,0.20397600000000002
32,0.179981,0.182978,0.186977,0.183312
33,0.195039,0.110432,0.129065,0.14484533333333335
34,0.142762,0.120515,0.087894,0.11705700000000001
35,0.156087,0.128091,0.149036,0.14440466666666668
36,0.131977,0.133973,0.137531,0.13449366666666665
37,0.16406,0.125746,0.108918,0.132908
38,0.155758,0.134289,0.133806,0.14128433333333335
39,0.132139,0.121618,0.126037,0.12659800000000002
40,0.133244,0.171977,0.171092,0.158771
41,0.125575,0.15098,0.133975,0.13684333333333334
42,0.143255,0.138043,0.207423,0.162907
43,0.149441,0.146126,0.133137,0.14290133333333335
44,0.178135,0.149156,0.134229,0.15384
45,0.150896,0.182408,0.143689,0.15899766666666668
46,0.138027,0.248434,0.166868,0.184443
47,0.208399,0.147981,0.149315,0.168565
48,0.119055,0.152998,0.131092,0.13438166666666665
49,0.179247,0.12911,0.132953,0.14710333333333334
50,0.143935,0.121482,0.147329,0.137582
51,0.139402,0.093919,0.136706,0.12334233333333333
52,0.158032,0.203601,0.151746,0.17112633333333335
53,0.202927,0.148295,0.210455,0.18722566666666665
54,0.168975,0.195895,0.230946,0.19860533333333333
55,0.179536,0.161972,0.167993,0.16983366666666666
56,0.1349,0.109515,0.189151,0.144522
